id,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
50nfwKoDiSYg8zOCREWAm5,50nfwKoDiSYg8zOCREWAm5,Shivers,Ed Sheeran,['Ed Sheeran'],0.788,0.859,2,-2.724,1,0.281,0.0,0.0424,0.822,141.02,207853,4
4iJyoBOLtHqaGxP12qzhQI,4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,"['Justin Bieber', 'Daniel Caesar', 'Giveon']",0.677,0.696,0,-6.181,1,0.321,0.0,0.42,0.464,90.03,198082,4
4QPEwDdOMhY7rNS05mTyMR,4QPEwDdOMhY7rNS05mTyMR,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,"['Stormzy', 'Burna Boy', 'Ed Sheeran']",0.817,0.781,7,-4.178,0,0.00838,5.21e-06,0.123,0.359,104.0,216707,4
5tz69p7tJuGPeMGwNTxYuV,5tz69p7tJuGPeMGwNTxYuV,1-800-273-8255,Logic,"['Logic', 'Alessia Cara', 'Khalid']",0.62,0.574,5,-7.788,0,0.569,0.0,0.19,0.357,100.023,250173,4
0Tel1fmuCxEFV6wBLXsEdk,0Tel1fmuCxEFV6wBLXsEdk,Kiss Me,Ed Sheeran,['Ed Sheeran'],0.589,0.227,2,-16.67,1,0.64,0.00469,0.0248,0.182,74.993,280853,4
4qu63nuBpdn0qHUHuObEj1,4qu63nuBpdn0qHUHuObEj1,Leave Before You Love Me (with Jonas Brothers),Marshmello,"['Marshmello', 'Jonas Brothers']",0.721,0.738,7,-4.77,1,0.00226,4.41e-06,0.118,0.637,119.976,154983,4
2RttW7RAu5nOAfq6YFvApB,2RttW7RAu5nOAfq6YFvApB,Happier,Ed Sheeran,['Ed Sheeran'],0.522,0.385,0,-7.355,1,0.536,0.0,0.135,0.236,89.792,207520,4
6v3KW9xbzN5yKLt9YKDYA2,6v3KW9xbzN5yKLt9YKDYA2,Señorita,Shawn Mendes,"['Shawn Mendes', 'Camila Cabello']",0.759,0.548,9,-6.049,0,0.0392,0.0,0.0828,0.749,116.967,190800,4
4mJDfMcT7odIUjWlb2WO4L,4mJDfMcT7odIUjWlb2WO4L,Baby One More Time - Recorded at Spotify Studios New York City,Ed Sheeran,['Ed Sheeran'],0.792,0.307,11,-6.224,0,0.189,0.0,0.0834,0.631,104.511,177215,4
6VrLYoQKdhu1Jruei06t65,6VrLYoQKdhu1Jruei06t65,Somebody To You,The Vamps,['The Vamps'],0.526,0.818,3,-5.952,1,0.0587,0.0,0.333,0.896,171.96,185098,4
6N1K5OVVCopBjGViHs2IvP,6N1K5OVVCopBjGViHs2IvP,The Joker And The Queen (feat. Taylor Swift),Ed Sheeran,"['Ed Sheeran', 'Taylor Swift']",0.528,0.309,0,-7.398,1,0.924,2.1e-06,0.282,0.307,133.83,185422,4
16wAOAZ2OkqoIDN7TpChjR,16wAOAZ2OkqoIDN7TpChjR,Yummy,Justin Bieber,['Justin Bieber'],0.676,0.506,9,-6.652,0,0.345,0.0,0.118,0.497,145.842,208520,4
